Specimen 1
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0.0064,8.57518
0.0066,8.21904

Specimen 23
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.12922
0.0004,15.07404
0.0006,21.16626
0.0008,26.51017
0.001,31.26118
0.0012,34.65895
0.0014,36.74299
0.0016,36.99484
0.0018,36.96613
0.002,36.44735
0.0022,35.41686
0.0024,34.08381
0.0026,32.03475
0.0028,29.80109
0.003,27.9313
0.0032,26.25712
0.0034,24.67593
0.0036,23.14805
0.0038,21.69936
0.004,20.42439
0.0042,19.31599
0.0044,18.27985
0.0046,17.31051
0.0048,16.33922
0.005,15.23691
0.0052,14.16162
0.0054,13.35213
0.0056,12.68118
0.0058,11.98714
0.006,11.30712
0.0062,10.69577
0.0064,10.14415
0.0066,9.67266

Specimen 24
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.71425
0.0004,16.19957
0.0006,22.47011
0.0008,27.39482
0.001,30.02392
0.0012,31.86309
0.0014,32.97423
0.0016,33.03324
0.0018,32.92015
0.002,32.78007
0.0022,32.4162
0.0024,31.42804
0.0026,30.25861
0.0028,28.99781
0.003,27.61113
0.0032,26.20924
0.0034,24.748
0.0036,23.41533
0.0038,22.28792
0.004,21.23056
0.0042,20.14696
0.0044,19.09138
0.0046,18.13925
0.0048,17.26295
0.005,16.34446
0.0052,15.38547
0.0054,14.55685
0.0056,13.86036
0.0058,13.21465
0.006,12.60935
0.0062,12.02772
0.0064,11.46545
0.0066,10.95353

Specimen 25
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.816
0.0004,16.05741
0.0006,22.37655
0.0008,27.972
0.001,32.61872
0.0012,35.54959
0.0014,36.80435
0.0016,36.66866
0.0018,36.24268
0.002,35.15129
0.0022,34.30765
0.0024,33.75282
0.0026,33.01481
0.0028,32.03822
0.003,30.73608
0.0032,28.78055
0.0034,26.55983
0.0036,24.61855
0.0038,23.16013
0.004,21.86106
0.0042,20.54038
0.0044,19.22306
0.0046,18.02874
0.0048,16.96912
0.005,16.02426
0.0052,15.18974
0.0054,14.45933
0.0056,13.83181
0.0058,13.296
0.006,12.85381
0.0062,12.45857
0.0064,12.08939
0.0066,11.77366

Specimen 26
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.77777
0.0004,14.38291
0.0006,20.57792
0.0008,26.3524
0.001,31.65568
0.0012,36.28241
0.0014,40.06942
0.0016,42.69517
0.0018,43.55291
0.002,42.58644
0.0022,41.22922
0.0024,39.33788
0.0026,37.13732
0.0028,34.47368
0.003,31.44454
0.0032,28.3053
0.0034,25.31133
0.0036,22.71054
0.0038,20.3333
0.004,18.07747
0.0042,16.0428
0.0044,14.32906
0.0046,12.93988
0.0048,11.76551
0.005,10.78967
0.0052,9.97942
0.0054,9.31201
0.0056,8.78235
0.0058,8.33564
0.006,7.89252
0.0062,7.50564
0.0064,7.23062
0.0066,6.99596

Specimen 27
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.04305
0.0004,15.00914
0.0006,21.70239
0.0008,27.94285
0.001,33.59694
0.0012,38.45043
0.0014,42.31546
0.0016,44.57831
0.0018,45.58048
